Gn,Genesis
Ex,Exodus
Lv,Leviticus
Nm,Numeri
Dt,Deuteronomium
Jos,Josue
Jdc,Judicum
Rt,Ruth
1Rg,Regum I
2Rg,Regum II
3Rg,Regum III
4Rg,Regum IV
1Par,Paralipomenon I
2Par,Paralipomenon II
Esr,Esdrae
Neh,Nehemiae
Tob,Tobiae
Jdt,Judith
Est,Esther
Job,Job
Ps,Psalmi
Pr,Proverbia
Ecl,Ecclesiastes
Ct,Canticum Canticorum
Sap,Sapientia
Sir,Ecclesiasticus
Is,Isaias
Jr,Jeremias
Lam,Lamentationes
Bar,Baruch
Ez,Ezechiel
Dn,Daniel
Os,Osee
Joel,Joael
Am,Amos
Abd,Abdias
Jon,Jonas
Mch,Michaea
Nah,Nahum
Hab,Habacuc
Soph,Sophonias
Agg,Aggaeus
Zach,Zacharias
Mal,Malachias
1Mcc,Machabaeorum I
2Mcc,Machabaeorum II
Mt,Matthaeus
Mc,Marcus
Lc,Lucas
Jo,Joannes
Act,Actus Apostolorum
Rom,ad Romanos
1Cor,ad Corinthios I
2Cor,ad Corinthios II
Gal,ad Galatas
Eph,ad Ephesios
Phlp,ad Philippenses
Col,ad Colossenses
1Thes,ad Thessalonicenses I
2Thes,ad Thessalonicenses II
1Tim,ad Timotheum I
2Tim,ad Timotheum II
Tit,ad Titum
Phlm,ad Philemonem
Hbr,ad Hebraeos
Jac,Jacobi
1Ptr,Petri I
2Ptr,Petri II
1Jo,Joannis I
2Jo,Joannis II
3Jo,Joannis III
Jud,Judae
Apc,Apocalypsis
